"#","Performer","Title","Inst.","Style","Year","Tempo","Tones","NA","NA","Inst"
"1","Art Pepper","Anthropology","cl","Cool","1979","218.8",530,"Score","JazzTube","cl"
"2","Art Pepper","Blues for Blanche","as","Cool","1979","198.9",666,"Score","JazzTube","as"
"3","Art Pepper","Desafinado","as","Cool","1979","140.5",373,"Score","JazzTube","as"
"4","Art Pepper","In a Mellow Tone","cl","Cool","1979","167.6",565,"Score","JazzTube","cl"
"5","Art Pepper","Stardust","as","Cool","1979","60.7",591,"Score","JazzTube","as"
"6","Art Pepper","Stardust (2)","as","Cool","1979","60.2",909,"Score","JazzTube","as"
"7","Benny Carter","I Got It Bad","as","Swing","1952","68.2",558,"Score","JazzTube","as"
"8","Benny Carter","It’s a Wonderful World","as","Swing","1986","124.2",427,"Score","JazzTube","as"
"9","Benny Carter","It’s a Wonderful World (2)","as","Swing","1986","127.2",249,"Score","JazzTube","as"
"10","Benny Carter","Just Friends","as","Swing","1986","204.9",568,"Score","JazzTube","as"
"11","Benny Carter","Long Ago and Far Away","as","Swing","1952","185.0",231,"Score","JazzTube","as"
"12","Benny Carter","Long Ago and Far Away (2)","as","Swing","1952","185.8",254,"Score","JazzTube","as"
"13","Benny Carter","Sweet Lorraine","as","Swing","1986","91.5",363,"Score","JazzTube","as"
"14","Benny Goodman","Avalon","cl","Swing","1937","241.0",162,"Score","JazzTube","cl"
"15","Benny Goodman","Handful of Keys","cl","Swing","1937","303.1",81,"Score","JazzTube","cl"
"16","Benny Goodman","Nobody’s Sweetheart","cl","Swing","1936","311.3",198,"Score","JazzTube","cl"
"17","Benny Goodman","Runnin’ Wild","cl","Swing","1937","285.0",162,"Score","JazzTube","cl"
"18","Benny Goodman","Tiger Rag","cl","Swing","1936","268.0",180,"Score","JazzTube","cl"
"19","Benny Goodman","Tiger Rag (2)","cl","Swing","1936","271.2",203,"Score","JazzTube","cl"
"20","Benny Goodman","Whispering","cl","Swing","1936","198.6",158,"Score","JazzTube","cl"
"21","Ben Webster","Bye Bye Blackbird","ts","Swing","1959","140.8",451,"Score","JazzTube","ts"
"22","Ben Webster","Did You Call Her Today","ts","Swing","1962","118.4",424,"Score","JazzTube","ts"
"23","Ben Webster","My Ideal","ts","Swing","1956","74.2",308,"Score","JazzTube","ts"
"24","Ben Webster","Night and Day","ts","Swing","1956","182.2",375,"Score","JazzTube","ts"
"25","Ben Webster","Where or When","ts","Swing","1956","82.1",268,"Score","JazzTube","ts"
"26","Bix Beiderbecke","I’m Coming Virginia","cor","Traditional","1927","131.5",225,"Score","JazzTube","cor"
"27","Bix Beiderbecke","Margie","cor","Traditional","1928","180.0",62,"Score","JazzTube","cor"
"28","Bix Beiderbecke","Riverboat Shuffle","cor","Traditional","1927","210.9",161,"Score","JazzTube","cor"
