,style,year,tempo,tones
0,0,1979,218.8,530
1,0,1979,198.9,666
2,0,1979,140.5,373
3,0,1979,167.6,565
4,0,1979,60.7,591
5,0,1979,60.2,909
6,1,1952,68.2,558
7,1,1986,124.2,427
8,1,1986,127.2,249
9,1,1986,204.9,568
10,1,1952,185.0,231
11,1,1952,185.8,254
12,1,1986,91.5,363
13,1,1937,241.0,162
14,1,1937,303.1,81
15,1,1936,311.3,198
16,1,1937,285.0,162
17,1,1936,268.0,180
18,1,1936,271.2,203
19,1,1936,198.6,158
20,1,1959,140.8,451
21,1,1962,118.4,424
22,1,1956,74.2,308
23,1,1956,182.2,375
24,1,1956,82.1,268
43,1,1944,175.9,156
44,1,1944,248.0,272
45,1,1939,230.8,161
46,2,1959,128.9,530
48,2,1961,193.9,450
49,2,1959,174.7,826
50,2,1960,156.3,391
51,3,1945,158.5,303
52,3,1951,168.9,279
53,3,1947,63.7,516
54,3,1947,225.7,371
55,3,1947,72.3,450
56,3,1947,71.9,375
57,3,1951,118.3,196
58,3,1945,299.4,538
59,3,1951,145.9,256
60,3,1946,221.0,194
61,3,1947,67.6,482
62,3,1947,165.0,270
63,3,1949,246.9,351
64,3,1950,133.8,314
65,3,1948,175.2,228
66,3,1945,227.2,357
67,3,1946,209.8,192
69,0,1954,65.2,129
70,0,1955,189.9,191
71,0,1955,157.5,142
72,0,1955,177.5,171
73,0,1954,168.7,190
74,0,1954,169.8,121
75,0,1975,202.2,173
76,0,1975,225.4,311
84,1,1938,81.9,251
85,1,1938,92.5,122
86,2,1954,189.7,624
87,2,1954,240.9,398
88,2,1955,154.8,429
89,2,1956,291.5,573
90,2,1956,285.4,590
91,2,1954,139.0,552
92,2,1954,161.0,455
93,2,1955,139.5,201
94,2,1954,163.9,410
95,1,1939,95.0,635
96,1,1949,133.7,257
97,1,1950,132.0,207
98,1,1950,177.5,468
99,1,1949,67.6,696
100,1,1954,250.2,346
101,2,1957,131.8,382
102,2,1961,147.4,119
120,2,1962,220.9,588
121,3,1947,93.2,348
122,2,1969,204.2,680
123,2,1961,113.7,1037
124,2,1969,181.2,777
125,2,1969,120.0,719
126,1,1944,173.5,158
127,1,1944,249.1,129
128,1,1939,229.4,109
129,1,1944,243.4,236
130,1,1944,183.4,114
131,1,1944,217.6,124
132,3,1946,245.7,158
133,3,1945,290.2,536
134,3,1945,204.4,305
135,3,1952,113.6,150
136,3,1945,181.9,442
137,3,1945,171.1,217
138,3,1945,288.6,336
139,1,1947,98.6,723
140,1,1952,115.9,193
141,1,1945,98.5,72
142,1,1945,99.3,122
143,1,1952,120.1,253
144,1,1945,55.5,267
145,1,1952,106.0,298
158,3,1948,300.7,379
159,3,1948,225.8,660
160,3,1948,146.2,261
161,3,1948,147.4,298
