,inst,year,tempo,tones
1,1,1979,198.9,666
2,1,1979,140.5,373
4,1,1979,60.7,591
5,1,1979,60.2,909
6,1,1952,68.2,558
7,1,1986,124.2,427
8,1,1986,127.2,249
9,1,1986,204.9,568
10,1,1952,185.0,231
11,1,1952,185.8,254
12,1,1986,91.5,363
20,2,1959,140.8,451
21,2,1962,118.4,424
22,2,1956,74.2,308
23,2,1956,182.2,375
24,2,1956,82.1,268
30,2,1993,270.1,799
31,2,1993,249.4,533
32,2,1979,126.7,906
33,2,1993,131.8,964
34,2,1993,161.8,633
35,2,1993,114.3,404
36,2,1997,167.1,655
37,2,1988,70.1,495
38,2,1988,126.6,845
39,2,1988,121.9,163
40,2,1988,36.8,971
41,2,1988,264.3,1104
42,2,1988,211.6,1113
43,4,1944,175.9,156
44,4,1944,248.0,272
45,4,1939,230.8,161
46,1,1959,128.9,530
47,1,1959,142.2,445
48,1,1961,193.9,450
49,1,1959,174.7,826
50,1,1960,156.3,391
51,1,1945,158.5,303
52,1,1951,168.9,279
53,1,1947,63.7,516
54,1,1947,225.7,371
55,1,1947,72.3,450
56,1,1947,71.9,375
57,1,1951,118.3,196
58,1,1945,299.4,538
59,1,1951,145.9,256
60,1,1946,221.0,194
61,1,1947,67.6,482
62,1,1947,165.0,270
63,1,1949,246.9,351
64,1,1950,133.8,314
65,1,1948,175.2,228
66,1,1945,227.2,357
67,1,1946,209.8,192
68,4,1941,269.1,145
69,4,1954,65.2,129
70,4,1955,189.9,191
71,4,1955,157.5,142
72,4,1955,177.5,171
73,4,1954,168.7,190
74,4,1954,169.8,121
75,4,1975,202.2,173
76,4,1975,225.4,311
77,2,1999,245.3,687
78,2,2007,117.7,1318
79,2,1993,48.6,413
80,2,2001,301.0,1631
81,2,2007,108.6,1353
82,2,2009,134.9,821
83,2,2007,112.0,933
84,2,1938,81.9,251
85,2,1938,92.5,122
86,4,1954,189.7,624
87,4,1954,240.9,398
88,4,1955,154.8,429
89,4,1956,291.5,573
90,4,1956,285.4,590
91,4,1954,139.0,552
92,4,1954,161.0,455
93,4,1955,139.5,201
94,4,1954,163.9,410
95,2,1939,95.0,635
96,2,1949,133.7,257
97,2,1950,132.0,207
98,2,1950,177.5,468
99,2,1949,67.6,696
100,2,1954,250.2,346
108,2,1996,209.1,380
111,2,1996,272.7,642
113,2,1996,151.7,799
114,2,1991,131.2,281
115,2,1990,60.4,1302
116,2,1990,61.3,124
117,2,1983,65.9,564
118,2,1983,65.1,146
119,2,1990,53.0,588
120,2,1962,220.9,588
121,2,1947,93.2,348
122,2,1969,204.2,680
123,2,1961,113.7,1037
124,2,1969,181.2,777
125,2,1969,120.0,719
132,4,1946,245.7,158
133,4,1945,290.2,536
134,4,1945,204.4,305
135,4,1952,113.6,150
136,4,1945,181.9,442
137,4,1945,171.1,217
138,2,1945,288.6,336
139,2,1947,98.6,723
140,2,1952,115.9,193
141,2,1945,98.5,72
142,2,1945,99.3,122
143,2,1952,120.1,253
144,2,1945,55.5,267
145,2,1952,106.0,298
146,4,1961,146.9,305
147,4,1962,211.3,298
148,4,1961,151.9,229
149,4,1961,134.1,331
150,4,1961,199.5,177
151,4,1961,168.9,118
152,1,1960,71.2,730
153,1,1961,62.9,379
154,1,1961,128.9,552
155,1,1960,235.4,502
158,4,1948,300.7,379
159,4,1948,225.8,660
160,4,1948,146.2,261
161,4,1948,147.4,298
162,4,1948,200.7,208
163,4,1948,163.8,162
164,4,1960,73.0,439
165,4,1966,118.9,421
166,4,1961,146.1,110
167,4,1965,126.0,552
168,4,1961,113.6,449
169,4,1964,143.2,251
170,2,1965,125.4,224
177,2,1954,121.3,283
178,2,1955,220.7,499
179,2,1960,165.9,633
180,2,1960,101.6,703
181,4,1962,118.5,366
182,4,1941,211.5,156
197,2,1964,276.7,1121
198,2,1964,299.5,517
199,2,1991,247.6,607
200,2,1964,160.1,716
201,2,1964,157.3,542
202,2,1963,153.5,536
203,2,1963,137.6,562
204,2,1991,219.2,329
205,2,1991,60.5,986
206,2,1991,59.6,208
207,2,1991,62.6,712
208,2,1993,124.6,368
210,2,1994,303.7,1427
211,2,1994,201.0,862
214,2,1960,194.5,668
215,2,1964,184.3,352
216,2,1956,176.5,449
217,2,1957,141.4,992
218,2,1960,138.0,421
219,2,1960,141.6,393
220,2,1959,337.6,867
221,2,1959,290.3,1127
222,2,1959,299.2,198
223,2,1961,293.4,4954
224,2,1963,278.7,1954
225,2,1959,258.2,1165
228,2,1963,186.1,1292
229,2,1957,137.8,1226
230,2,1956,266.2,656
231,2,1956,82.1,357
